StartIdx,EndIdx,StartTyp,EndTyp,StartUlica,StartMiasto,EndUlica,EndMiasto,DeliveryTimeWindow,Distance_km,Duration_time_expected,Duration_time_pessimistic,Duration_time_optimistic
0,1,Magazyn,PunktDostawy,Puławska,Warszawa,Floriańska,Kraków,08:00-09:00,294.61,184.5,179.88,156.82
0,2,Magazyn,PunktDostawy,Puławska,Warszawa,Święty Marcin,Poznań,09:30-10:30,309.62,180.67,193.07,153.57
1,0,PunktDostawy,Magazyn,Floriańska,Kraków,Puławska,Warszawa,,293.16,183.44,184.53,155.92
1,2,PunktDostawy,PunktDostawy,Floriańska,Kraków,Święty Marcin,Poznań,09:30-10:30,462.6,275.04,270.43,233.78
2,0,PunktDostawy,Magazyn,Święty Marcin,Poznań,Puławska,Warszawa,,314.11,184.51,190.98,156.83
2,1,PunktDostawy,PunktDostawy,Święty Marcin,Poznań,Floriańska,Kraków,08:00-09:00,465.11,277.69,285.1,236.04
