StartIdx,EndIdx,StartTyp,EndTyp,StartUlica,StartMiasto,EndUlica,EndMiasto,Distance_km,Duration_time
0,1,Magazyn,PunktDostawy,Puławska,Warszawa,Floriańska,Kraków,294.61,184.6
0,2,Magazyn,PunktDostawy,Puławska,Warszawa,Święty Marcin,Poznań,309.62,180.28
1,0,PunktDostawy,Magazyn,Floriańska,Kraków,Puławska,Warszawa,293.16,183.38
1,2,PunktDostawy,PunktDostawy,Floriańska,Kraków,Święty Marcin,Poznań,462.59,275.03
2,0,PunktDostawy,Magazyn,Święty Marcin,Poznań,Puławska,Warszawa,314.12,184.65
2,1,PunktDostawy,PunktDostawy,Święty Marcin,Poznań,Floriańska,Kraków,465.11,277.5
